TestDescription,Unit,Value,Component
505020 OC Meas Voltage TI_OUTAGE ON, V,.0225,IC100
505030 OC Read ADC TI_FAULT ON, Dec,-9999,IC100
505035 OC Read ADC SUPP CTRL, Dec,38039,IC100
505040 OC TI_OUTAGE OFF, Bol,-144,IC100
505060 OC Read ADC TI_FAULT OFF, Dec,-9999,IC100
506032 LSD set PWMs 50%, Bol,-144,IC100
506034 LSD HB_IN Frequency, Hz,25942,IC100
506036 LSD HB_IN Duty cycle, %,69.37,IC100
506038 LSD set PWMs Off, Bol,-144,IC100
506040 LSD Set P0, Bol,-144,IC100
506075 LSD LB Disable HB, Bol,-144,IC100
506090 LSD LB Voltage Inactive, V,.4064,IC100
506100 LSD LB Current High, mA,1504.,IC100
507020 HSD Set PWMO 100%, Bol,-144,IC100
507030 HSD Read ADC Fan Sense, Dec,-9999,IC100
507040 HSD Voltage High, V,.0075,IC100
507050 HSD Current High, mA,.2731,IC100
507060 HSD Set SEN On, Bol,-144,IC100
507070 HSD Check DI_FAN, Hex,0,IC100
507080 HSD Read ADC Fan Sense On, Dec,-9999,IC100
508010 INIT BOOST 30V, Bol,-144,IC100
508020 INIT BUCK, Bol,-144,IC100
501060 Read SW Version, Hex,21474,IC100
501070 Check SW Version, Bol,-1,IC100
501080 Change to Programming Session, Dec,21474,IC100
501090 Read Serial Number, Hex,21474,IC100
501100 Check Serial Number, Bol,-1,IC100
501110 Read Bootloader SW Version, Hex,21474,IC100
501120 Check Bootloader Version, Dec,1,IC100
501170 Change to Default Session, Dec,21474,IC100
501180 Read PN Suffix, Dec,21474,IC100
501190 Check PN Suffix, bin,1,IC100
501200 Read HW Version, Dec,21474,IC100
501210 Check HW Version, bin,1,IC100
502020 EOL Change Session, Dec,21474,IC100
502030 EOL Enter EOL mode, Hex,21474,IC100
502040 EOL Activation EOL, Bol,21474,IC100
502050 EOL Get Security Access, Hex,21474,IC100
502060 EOL Validate Key to ECU, Hex,21474,IC100
502070 EOL Check EOL mode, Bol,21474,IC100
502080 EOL Download TBX, Bol,21474,IC100
502090 Stand by Current, mA,171.7,IC100
502100 INIT uC Port Registers, Bol,-197,IC100
503010 PS P0 LR Detect Feedback, Dec,-9999,IC100
503020 PS P0 LB Feedback, Dec,0,IC100
503030 PS P0 HB Feedback, Dec,26653,IC100
503040 PS P0 TI Feedback, Dec,-2013,IC100
503050 PS P0 DTRL Feedback, Dec,0,IC100
503060 PS P0 Check DI DRL, Hex,0,IC100
503070 PS P1 LR Detect Feedback, Dec,-9999,IC100
504010 AI P0 Read ADC NTC-LB, Dec,-9999,IC100
504020 AI P0 Read ADC NTC-HB, Dec,18776,IC100
504030 AI P0 Read ADC NTC-DRL, Dec,23965,IC100
504040 AI P0 Read ADC NTC-TI, Dec,-1946,IC100
504050 AI P0 Read ADC BINNING-LB, Dec,38396,IC100
504060 AI P0 Read ADC BINNING-DTRL, Dec,0,IC100
504070 AI P0 Read ADC BINNING-TI, Dec,23965,IC100
504080 AI P1 Read ADC NTC-LB, Dec,-9999,IC100
504090 AI P1 Read ADC NTC-HB, Dec,18776,IC100
504100 AI P1 Read ADC NTC-DRL, Dec,23965,IC100
504110 AI P1 Read ADC NTC-TI, Dec,-1946,IC100
504120 AI P1 Read ADC BINNING-LB, Dec,38396,IC100
504130 AI P1 Read ADC BINNING-DRL, Dec,18776,IC100
504140 AI P1 Read ADC BINNING-TI, Dec,23965,IC100
504150 AI P1 Read ADC PCB TEMP Normal Temperature, Dec,-1946,IC100
504160 AI P1 Read ADC TEMP REF, Dec,38396,IC100
504165 AI P1 Disable VRef analogs, Bol,-144,IC100
504170 AI P1 Read ADC PCB TEMP OFF, Dec,-9999,IC100
504180 AI P1 Read ADC TEMP REF OFF, Dec,18776,IC100
505010 OC TI_OUTAGE ON, Bol,-144,IC100
505020 OC Meas Voltage TI_OUTAGE ON, V,.0255,IC100
505030 OC Read ADC TI_FAULT ON, Dec,-9999,IC100
505035 OC Read ADC SUPP CTRL, Dec,18776,IC100
505040 OC TI_OUTAGE OFF, Bol,-144,IC100
505060 OC Read ADC TI_FAULT OFF, Dec,-9999,IC100
506032 LSD set PWMs 50%, Bol,-144,IC100
506034 LSD HB_IN Frequency, Hz,10416,IC100
506036 LSD HB_IN Duty cycle, %,6.399,IC100
506038 LSD set PWMs Off, Bol,-144,IC100
506040 LSD Set P0, Bol,-144,IC100
506075 LSD LB Disable HB, Bol,-144,IC100
506090 LSD LB Voltage Inactive, V,.4145,IC100
506100 LSD LB Current High, mA,1506.,IC100
507020 HSD Set PWMO 100%, Bol,-144,IC100
507030 HSD Read ADC Fan Sense, Dec,-9999,IC100
507040 HSD Voltage High, V,.0067,IC100
507050 HSD Current High, mA,.4708,IC100
507060 HSD Set SEN On, Bol,-144,IC100
507070 HSD Check DI_FAN, Hex,0,IC100
507080 HSD Read ADC Fan Sense On, Dec,-9999,IC100
508010 INIT BOOST 30V, Bol,-144,IC100
508020 INIT BUCK, Bol,-144,IC100
507040 HSD Voltage High, V,.0001,R811
507050 HSD Current High, mA,.1712,R811
507080 HSD Read ADC Fan Sense On, Dec,0,R811
507040 HSD Voltage High, V,.0013,R811
507050 HSD Current High, mA,.3958,R811
507080 HSD Read ADC Fan Sense On, Dec,0,R811
507040 HSD Voltage High, V,.0017,R811
507050 HSD Current High, mA,.4164,R811
507080 HSD Read ADC Fan Sense On, Dec,0,R811
53010 Read ADC SUPPLY_1 Low, Dec,1388,T500
53010 Read ADC SUPPLY_1 Low, Dec,1388,T500
509010 BST CHK Phase 1, Dec,0,R211
530030 CAL CH1 Voltage High FB, V,0,R211
530040 CAL CH1 Voltage Meas Vf High, V,.0527,R211
530070 CAL CH3 Voltage High FB, V,0,R211
530080 CAL CH3 Voltage Meas Vf High, V,.0552,R211
530120 CAL CH1 Voltage Low FB, V,0,R211
530130 CAL CH1 Voltage Meas Vf Low, V,.0564,R211
530160 CAL CH3 Voltage Low FB, V,0,R211
530170 CAL CH3 Voltage Meas Vf Low, V,.0695,R211
509010 BST CHK Phase 1, Dec,0,R211
530030 CAL CH1 Voltage High FB, V,0,R211
530040 CAL CH1 Voltage Meas Vf High, V,.0536,R211
530070 CAL CH3 Voltage High FB, V,0,R211
530080 CAL CH3 Voltage Meas Vf High, V,.0552,R211
530120 CAL CH1 Voltage Low FB, V,0,R211
530130 CAL CH1 Voltage Meas Vf Low, V,.0527,R211
530160 CAL CH3 Voltage Low FB, V,0,R211
530170 CAL CH3 Voltage Meas Vf Low, V,.0571,R211
501020_IDENT_Enter_session_03, Hex,14,C100
501020_IDENT_Enter_session_03, Hex,14,C100
501020_IDENT_Enter_session_03, Hex,14,C100
501020_IDENT_Enter_session_03, Hex,14,C100
501020_IDENT_Enter_session_03, Hex,14,C100
501020_IDENT_Enter_session_03, Hex,14,C100
501020_IDENT_Enter_session_03, Hex,14,C100
501020_IDENT_Enter_session_03, Hex,14,C100
501020_IDENT_Enter_session_03, Hex,14,C100
501020_IDENT_Enter_session_03, Hex,14,C100
501020_IDENT_Enter_session_03, Hex,14,C100
501020_IDENT_Enter_session_03, Hex,14,C100
503050 PS P0 DTRL Feedback, Dec,1023,R413
503050 PS P0 DTRL Feedback, Dec,1023,R413
503050 PS P0 DTRL Feedback, Dec,1023,R413
503050 PS P0 DTRL Feedback, Dec,1023,R413
503050 PS P0 DTRL Feedback, Dec,1023,R413
503050 PS P0 DTRL Feedback, Dec,1023,R413
503050 PS P0 DTRL Feedback, Dec,1023,R413
503050 PS P0 DTRL Feedback, Dec,1023,R413
530040 CAL CH1 Voltage Meas Vf High, V,.2623,R212
530070 CAL CH3 Voltage High FB, V,0,R212
530080 CAL CH3 Voltage Meas Vf High, V,.3173,R212
530120 CAL CH1 Voltage Low FB, V,0,R212
530130 CAL CH1 Voltage Meas Vf Low, V,.2629,R212
530160 CAL CH3 Voltage Low FB, V,0,R212
530170 CAL CH3 Voltage Meas Vf Low, V,.3180,R212
530210 CAL CH1 Voltage k1, Calc,-.000,R212
509010 BST CHK Phase 1, Dec,0,R212
530030 CAL CH1 Voltage High FB, V,0,R212
530040 CAL CH1 Voltage Meas Vf High, V,.0508,R212
530070 CAL CH3 Voltage High FB, V,0,R212
530080 CAL CH3 Voltage Meas Vf High, V,.0551,R212
530120 CAL CH1 Voltage Low FB, V,0,R212
530130 CAL CH1 Voltage Meas Vf Low, V,.0507,R212
530160 CAL CH3 Voltage Low FB, V,0,R212
530170 CAL CH3 Voltage Meas Vf Low, V,.0545,R212
509010 BST CHK Phase 1, Dec,0,R212
530030 CAL CH1 Voltage High FB, V,0,R212
530040 CAL CH1 Voltage Meas Vf High, V,.0526,R212
530070 CAL CH3 Voltage High FB, V,0,R212
530080 CAL CH3 Voltage Meas Vf High, V,.0586,R212
530120 CAL CH1 Voltage Low FB, V,0,R212
530130 CAL CH1 Voltage Meas Vf Low, V,.0526,R212
530160 CAL CH3 Voltage Low FB, V,0,R212
530170 CAL CH3 Voltage Meas Vf Low, V,.0587,R212
530030 CAL CH1 Voltage High FB, V,0,D1002
530040 CAL CH1 Voltage Meas Vf High, V,16.45,D1002
530050 CAL CH2 Voltage High FB, V,0,D1002
530070 CAL CH3 Voltage High FB, V,0,D1002
530080 CAL CH3 Voltage Meas Vf High, V,8.343,D1002
530120 CAL CH1 Voltage Low FB, V,0,D1002
530140 CAL CH2 Voltage Low FB, V,.8109,D1002
530160 CAL CH3 Voltage Low FB, V,0,D1002
530030 CAL CH1 Voltage High FB, V,0,D1002
530040 CAL CH1 Voltage Meas Vf High, V,16.49,D1002
530050 CAL CH2 Voltage High FB, V,0,D1002
530070 CAL CH3 Voltage High FB, V,0,D1002
530080 CAL CH3 Voltage Meas Vf High, V,8.343,D1002
530120 CAL CH1 Voltage Low FB, V,0,D1002
530140 CAL CH2 Voltage Low FB, V,0,D1002
530160 CAL CH3 Voltage Low FB, V,0,D1002
530030 CAL CH1 Voltage High FB, V,0,D1002
530040 CAL CH1 Voltage Meas Vf High, V,16.56,D1002
530050 CAL CH2 Voltage High FB, V,0,D1002
530070 CAL CH3 Voltage High FB, V,0,D1002
530080 CAL CH3 Voltage Meas Vf High, V,8.356,D1002
530120 CAL CH1 Voltage Low FB, V,1.095,D1002
530140 CAL CH2 Voltage Low FB, V,0,D1002
530160 CAL CH3 Voltage Low FB, V,.8820,D1002
530210 CAL CH1 Voltage k1, Calc,-10.1,D1002
530220 CAL CH1 Voltage d1, Calc,16.56,D1002
55610 TI String1 Anode Voltage, V,45.90,T111
55610 TI String1 Anode Voltage, V,46.03,T111
55610 TI String1 Anode Voltage, V,45.95,T111
55610 TI String1 Anode Voltage, V,46.11,T111
r407, O,89642,C1038
t401:d_ds,V,.4374,C1038
r407, O,89644,C1038
t401:d_ds,V,.4258,C1038
r407, O,89616,C1038
t401:d_ds,V,.4256,C1038
r730, O,8791.,C1038
r407, O,89382,C1038
t401:d_ds,V,.4255,C1038
r730, O,8838.,C1038
r407, O,89394,C1038
t401:d_ds,V,.4326,C1038
r730, O,8841.,C1038
r407, O,89442,C1038
t401:d_ds,V,.4330,C1038
530030_CAL CH1 Voltage High FB, V,0,C1038
530040_CAL CH1 Voltage Meas Vf High, V,1.921,C1038
530120_CAL CH1 Voltage Low FB, V,0,C1038
530130_CAL CH1 Voltage Meas Vf Low, V,1.812,C1038
509010_BST CHK Phase 1, Dec,255,R214
509010_BST CHK Phase 1, Dec,255,R214
509010_BST CHK Phase 1, Dec,255,R214
509010_BST CHK Phase 1, Dec,255,R214
530090_CAL CH4 Voltage High FB, V,4.077,C1057
530090_CAL CH4 Voltage High FB, V,4.077,C1057
521620_Leakage 9A ANODE HB, uA,1872.,C1057
530090_CAL CH4 Voltage High FB, V,4.077,C1057
501060 Read SW Version, Hex,21474,R103
501070 Check SW Version, Bol,-1,R103
501080 Change to Programming Session, Dec,21474,R103
501090 Read Serial Number, Hex,21474,R103
501100 Check Serial Number, Bol,-1,R103
501110 Read Bootloader SW Version, Hex,21474,R103
501120 Check Bootloader Version, Dec,1,R103
501170 Change to Default Session, Dec,21474,R103
501180 Read PN Suffix, Dec,21474,R103
501190 Check PN Suffix, bin,1,R103
501200 Read HW Version, Dec,21474,R103
501210 Check HW Version, bin,1,R103
502020 EOL Change Session, Dec,21474,R103
502030 EOL Enter EOL mode, Hex,21474,R103
502040 EOL Activation EOL, Bol,21474,R103
502050 EOL Get Security Access, Hex,21474,R103
502060 EOL Validate Key to ECU, Hex,21474,R103
502070 EOL Check EOL mode, Bol,21474,R103
502080 EOL Download TBX, Bol,21474,R103
502090 Stand by Current, mA,164.3,R103
502100 INIT uC Port Registers, Bol,-197,R103
503010 PS P0 LR Detect Feedback, Dec,-9999,R103
503020 PS P0 LB Feedback, Dec,10499,R103
503030 PS P0 HB Feedback, Dec,35813,R103
503040 PS P0 TI Feedback, Dec,-1912,R103
503050 PS P0 DTRL Feedback, Dec,0,R103
503060 PS P0 Check DI DRL, Hex,0,R103
503070 PS P1 LR Detect Feedback, Dec,-9999,R103
504010 AI P0 Read ADC NTC-LB, Dec,-9999,R103
504020 AI P0 Read ADC NTC-HB, Dec,10507,R103
504030 AI P0 Read ADC NTC-DRL, Dec,35813,R103
504040 AI P0 Read ADC NTC-TI, Dec,-2013,R103
504050 AI P0 Read ADC BINNING-LB, Dec,1,R103
504060 AI P0 Read ADC BINNING-DTRL, Dec,65535,R103
504070 AI P0 Read ADC BINNING-TI, Dec,35813,R103
504080 AI P1 Read ADC NTC-LB, Dec,-9999,R103
504090 AI P1 Read ADC NTC-HB, Dec,18846,R103
504100 AI P1 Read ADC NTC-DRL, Dec,36147,R103
504110 AI P1 Read ADC NTC-TI, Dec,-1946,R103
504120 AI P1 Read ADC BINNING-LB, Dec,0,R103
504130 AI P1 Read ADC BINNING-DRL, Dec,26214,R103
504140 AI P1 Read ADC BINNING-TI, Dec,36147,R103
504150 AI P1 Read ADC PCB TEMP Normal Temperature, Dec,-1946,R103
504160 AI P1 Read ADC TEMP REF, Dec,10387,R103
504165 AI P1 Disable VRef analogs, Bol,-144,R103
504170 AI P1 Read ADC PCB TEMP OFF, Dec,-9999,R103
504180 AI P1 Read ADC TEMP REF OFF, Dec,18846,R103
505010 OC TI_OUTAGE ON, Bol,-144,R103
505020 OC Meas Voltage TI_OUTAGE ON, V,.0201,R103
505030 OC Read ADC TI_FAULT ON, Dec,-9999,R103
505035 OC Read ADC SUPP CTRL, Dec,17161,R103
505040 OC TI_OUTAGE OFF, Bol,-144,R103
505060 OC Read ADC TI_FAULT OFF, Dec,-9999,R103
506032 LSD set PWMs 50%, Bol,-144,R103
506034 LSD HB_IN Frequency, Hz,11997,R103
506036 LSD HB_IN Duty cycle, %,79.85,R103
506038 LSD set PWMs Off, Bol,-144,R103
506040 LSD Set P0, Bol,-144,R103
506075 LSD LB Disable HB, Bol,-144,R103
506090 LSD LB Voltage Inactive, V,.3883,R103
506100 LSD LB Current High, mA,1503.,R103
507020 HSD Set PWMO 100%, Bol,-144,R103
507030 HSD Read ADC Fan Sense, Dec,-9999,R103
507040 HSD Voltage High, V,.0066,R103
507050 HSD Current High, mA,.2614,R103
507060 HSD Set SEN On, Bol,-144,R103
507070 HSD Check DI_FAN, Hex,0,R103
507080 HSD Read ADC Fan Sense On, Dec,-9999,R103
508010 INIT BOOST 30V, Bol,-144,R103
508020 INIT BUCK, Bol,-144,R103
501060 Read SW Version, Hex,21474,R103
501070 Check SW Version, Bol,-1,R103
501080 Change to Programming Session, Dec,21474,R103
501090 Read Serial Number, Hex,21474,R103
501100 Check Serial Number, Bol,-1,R103
501110 Read Bootloader SW Version, Hex,21474,R103
501120 Check Bootloader Version, Dec,1,R103
501170 Change to Default Session, Dec,21474,R103
501180 Read PN Suffix, Dec,21474,R103
501190 Check PN Suffix, bin,1,R103
501200 Read HW Version, Dec,21474,R103
501210 Check HW Version, bin,1,R103
502020 EOL Change Session, Dec,21474,R103
502030 EOL Enter EOL mode, Hex,21474,R103
502040 EOL Activation EOL, Bol,21474,R103
502050 EOL Get Security Access, Hex,21474,R103
502060 EOL Validate Key to ECU, Hex,21474,R103
502070 EOL Check EOL mode, Bol,21474,R103
502080 EOL Download TBX, Bol,21474,R103
502090 Stand by Current, mA,155.8,R103
502100 INIT uC Port Registers, Bol,-197,R103
503010 PS P0 LR Detect Feedback, Dec,-9999,R103
503020 PS P0 LB Feedback, Dec,18983,R103
503030 PS P0 HB Feedback, Dec,50675,R103
503040 PS P0 TI Feedback, Dec,-2147,R103
503050 PS P0 DTRL Feedback, Dec,2084,R103
503060 PS P0 Check DI DRL, Hex,0,R103
503070 PS P1 LR Detect Feedback, Dec,-9999,R103
504010 AI P0 Read ADC NTC-LB, Dec,-9999,R103
504020 AI P0 Read ADC NTC-HB, Dec,38553,R103
504030 AI P0 Read ADC NTC-DRL, Dec,48322,R103
504040 AI P0 Read ADC NTC-TI, Dec,-1912,R103
504050 AI P0 Read ADC BINNING-LB, Dec,10763,R103
504060 AI P0 Read ADC BINNING-DTRL, Dec,0,R103
504070 AI P0 Read ADC BINNING-TI, Dec,48322,R103
504080 AI P1 Read ADC NTC-LB, Dec,-9999,R103
504090 AI P1 Read ADC NTC-HB, Dec,18983,R103
504100 AI P1 Read ADC NTC-DRL, Dec,50675,R103
504110 AI P1 Read ADC NTC-TI, Dec,-1946,R103
504120 AI P1 Read ADC BINNING-LB, Dec,10835,R103
504130 AI P1 Read ADC BINNING-DRL, Dec,-1091,R103
504140 AI P1 Read ADC BINNING-TI, Dec,50675,R103
504150 AI P1 Read ADC PCB TEMP Normal Temperature, Dec,-1946,R103
504160 AI P1 Read ADC TEMP REF, Dec,10835,R103
504165 AI P1 Disable VRef analogs, Bol,-144,R103
504170 AI P1 Read ADC PCB TEMP OFF, Dec,-9999,R103
504180 AI P1 Read ADC TEMP REF OFF, Dec,18983,R103
505010 OC TI_OUTAGE ON, Bol,-144,R103
505020 OC Meas Voltage TI_OUTAGE ON, V,.0228,R103
505030 OC Read ADC TI_FAULT ON, Dec,-9999,R103
505035 OC Read ADC SUPP CTRL, Dec,18466,R103
505040 OC TI_OUTAGE OFF, Bol,-144,R103
505060 OC Read ADC TI_FAULT OFF, Dec,-9999,R103
506032 LSD set PWMs 50%, Bol,-144,R103
506034 LSD HB_IN Frequency, Hz,39213,R103
506038 LSD set PWMs Off, Bol,-144,R103
506040 LSD Set P0, Bol,-144,R103
506075 LSD LB Disable HB, Bol,-144,R103
506090 LSD LB Voltage Inactive, V,.4052,R103
506100 LSD LB Current High, mA,1506.,R103
507020 HSD Set PWMO 100%, Bol,-144,R103
507030 HSD Read ADC Fan Sense, Dec,-9999,R103
507040 HSD Voltage High, V,.0043,R103
507050 HSD Current High, mA,.3887,R103
507060 HSD Set SEN On, Bol,-144,R103
507070 HSD Check DI_FAN, Hex,0,R103
507080 HSD Read ADC Fan Sense On, Dec,-9999,R103
508010 INIT BOOST 30V, Bol,-144,R103
508020 INIT BUCK, Bol,-144,R103
50120 IDENT Check Active Session, Hex,14,R226
50120 IDENT Check Active Session, Hex,14,R226
50120 IDENT Check Active Session, Hex,14,R226
50120 IDENT Check Active Session, Hex,14,R226
50120 IDENT Check Active Session, Hex,14,R226
51320 DI_P0 X606_X607_X403, P/F,16384,D201
51320 DI_P0 X606_X607_X403, P/F,16384,D201
51320 DI_P0 X606_X607_X403, P/F,16384,D201
51320 DI_P0 X606_X607_X403, P/F,16384,D201
51320 DI_P0 X606_X607_X403, P/F,16384,D201
51320 DI_P0 X606_X607_X403, P/F,16384,D201
501020_IDENT_Enter_session_03, Hex,14,IC400
501020_IDENT_Enter_session_03, Hex,14,IC400
501020_IDENT_Enter_session_03, Hex,14,IC400
501020_IDENT_Enter_session_03, Hex,14,IC400
501020_IDENT_Enter_session_03, Hex,14,IC400
501020_IDENT_Enter_session_03, Hex,14,IC400
501020_IDENT_Enter_session_03, Hex,14,IC400
501020_IDENT_Enter_session_03, Hex,14,IC400
501020_IDENT_Enter_session_03, Hex,14,IC400
501020_IDENT_Enter_session_03, Hex,14,IC400
506175_Diagnostic_DC_Voltage_at_ru, V,.0000,D500
506175_Diagnostic_DC_Voltage_at_ru, V,.0000,D500
506175_Diagnostic_DC_Voltage_at_ru, V,.0000,D500
506175_Diagnostic_DC_Voltage_at_ru, V,.0000,D500
506175_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506175_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506175_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506175_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
501020_IDENT_Enter_session_03, Hex,14,C328
501020_IDENT_Enter_session_03, Hex,14,C328
501020_IDENT_Enter_session_03, Hex,14,C405
50470 LR Detect High, Dec,0,D1600
50470 LR Detect High, Dec,0,D1600
50470 LR Detect High, Dec,0,D1600
55110 DTRL2 String1 Anode Voltage, V,44.89,T116
55110 DTRL2 String1 Anode Voltage, V,44.85,T116
55110 DTRL2 String1 Anode Voltage, V,44.70,T116
55110 DTRL2 String1 Anode Voltage, V,44.73,T116
56640 DTRL1 C11 Current,mA,585.5,T112
56640 DTRL1 C11 Current,mA,588.4,T112
56640 DTRL1 C11 Current,mA,588.8,T112
t111:cr2, V,1.408,C1100
t111:cr2, V,1.408,C1100
55610 TI String1 Anode Voltage, V,45.87,C1100
55610 TI String1 Anode Voltage, V,45.58,C1100
29_2250-1_Set_Mirrors_Off, Dec,0,I001
29_2250-1_Set_Mirrors_Off, Dec,0,I001
504010_[C-08] AI P0 Read ADC 8C NTC LB, Dec,0,D300
504020_[C-09] AI P0 Read ADC 9C NTC HB, Dec,0,D300
504030_[A-12] AI P0 Read ADC 12A NTC DTRL, Dec,0,D300
504040_[A-11] AI P0 Read ADC 11A NTC TI, Dec,0,D300
504050_[C-19] AI P0 Read ADC 19C BIN LB, Dec,0,D300
504060_[A-15] AI P0 Read ADC 15A BIN DTRL, Dec,0,D300
504070_[A-14] AI P0 Read ADC 14A BIN TI, Dec,0,D300
504080_[C-17] AI P0 Read ADC 17C BIN HB, Dec,0,D300
504100_AI P1 Read ADC PCB TEMP, Dec,0,D300
504110_[C-08] AI P1 Read ADC 8C NTC LB, Dec,0,D300
504120_[C-09] AI P1 Read ADC 9C NTC HB, Dec,0,D300
504130_[A-12] AI P1 Read ADC 12A NTC DTRL, Dec,0,D300
504140_[A-11] AI P1 Read ADC 11A NTC TI, Dec,0,D300
504150_[C-19] AI P1 Read ADC 19C BIN LB, Dec,0,D300
504160_[A-15] AI P1 Read ADC 15A BIN DTRL, Dec,0,D300
504170_[A-14] AI P1 Read ADC 14A BIN TI, Dec,0,D300
504180_[A-17] AI P1 Read ADC 17C BIN HB, Dec,0,D300
504190_AI P1 Read ADC TEMP REF, Dec,0,D300
504010_[C-08] AI P0 Read ADC 8C NTC LB, Dec,0,D300
504020_[C-09] AI P0 Read ADC 9C NTC HB, Dec,0,D300
504030_[A-12] AI P0 Read ADC 12A NTC DTRL, Dec,0,D300
504040_[A-11] AI P0 Read ADC 11A NTC TI, Dec,0,D300
504050_[C-19] AI P0 Read ADC 19C BIN LB, Dec,0,D300
504060_[A-15] AI P0 Read ADC 15A BIN DTRL, Dec,0,D300
504070_[A-14] AI P0 Read ADC 14A BIN TI, Dec,0,D300
504080_[C-17] AI P0 Read ADC 17C BIN HB, Dec,0,D300
504100_AI P1 Read ADC PCB TEMP, Dec,0,D300
504110_[C-08] AI P1 Read ADC 8C NTC LB, Dec,0,D300
504120_[C-09] AI P1 Read ADC 9C NTC HB, Dec,0,D300
504130_[A-12] AI P1 Read ADC 12A NTC DTRL, Dec,0,D300
504140_[A-11] AI P1 Read ADC 11A NTC TI, Dec,0,D300
504150_[C-19] AI P1 Read ADC 19C BIN LB, Dec,0,D300
504160_[A-15] AI P1 Read ADC 15A BIN DTRL, Dec,0,D300
504170_[A-14] AI P1 Read ADC 14A BIN TI, Dec,0,D300
504180_[A-17] AI P1 Read ADC 17C BIN HB, Dec,0,D300
504190_AI P1 Read ADC TEMP REF, Dec,0,D300
504010_[C-08] AI P0 Read ADC 8C NTC LB, Dec,0,D300
504020_[C-09] AI P0 Read ADC 9C NTC HB, Dec,0,D300
504030_[A-12] AI P0 Read ADC 12A NTC DTRL, Dec,0,D300
504040_[A-11] AI P0 Read ADC 11A NTC TI, Dec,0,D300
504050_[C-19] AI P0 Read ADC 19C BIN LB, Dec,0,D300
504060_[A-15] AI P0 Read ADC 15A BIN DTRL, Dec,0,D300
504070_[A-14] AI P0 Read ADC 14A BIN TI, Dec,0,D300
504080_[C-17] AI P0 Read ADC 17C BIN HB, Dec,0,D300
504100_AI P1 Read ADC PCB TEMP, Dec,0,D300
504110_[C-08] AI P1 Read ADC 8C NTC LB, Dec,0,D300
504120_[C-09] AI P1 Read ADC 9C NTC HB, Dec,0,D300
504130_[A-12] AI P1 Read ADC 12A NTC DTRL, Dec,0,D300
504140_[A-11] AI P1 Read ADC 11A NTC TI, Dec,0,D300
504150_[C-19] AI P1 Read ADC 19C BIN LB, Dec,0,D300
504160_[A-15] AI P1 Read ADC 15A BIN DTRL, Dec,0,D300
504170_[A-14] AI P1 Read ADC 14A BIN TI, Dec,0,D300
504180_[A-17] AI P1 Read ADC 17C BIN HB, Dec,0,D300
504190_AI P1 Read ADC TEMP REF, Dec,0,D300
501020_IDENT_Enter_session_03, Hex,14,D102
501020_IDENT_Enter_session_03, Hex,14,D102
501020_IDENT_Enter_session_03, Hex,14,D102
501020_IDENT_Enter_session_03, Hex,14,D102
501020_IDENT_Enter_session_03, Hex,14,D102
501020_IDENT_Enter_session_03, Hex,14,D102
501020_IDENT_Enter_session_03, Hex,14,D102
501020_IDENT_Enter_session_03, Hex,14,D102
501020_IDENT_Enter_session_03, Hex,14,D102
501020_IDENT_Enter_session_03, Hex,14,D102
501020_IDENT_Enter_session_03, Hex,14,D102
501020_IDENT_Enter_session_03, Hex,14,D102
501020_IDENT_Enter_session_03, Hex,14,D102
503080_Read_NTC_ANI2, Dec,1023,R345
503080_Read_NTC_ANI2, Dec,1023,R345
503080_Read_NTC_ANI2, Dec,1023,R345
509010_BST CHK Phase 1, Dec,36,L900
509010_BST CHK Phase 1, Dec,36,L900
509010_BST CHK Phase 1, Dec,36,L900
56080 DRL1 C10 ADC High, Dec,0,R1140
56080 DRL1 C10 ADC High, Dec,0,R1140
56080 DRL1 C10 ADC High, Dec,0,R1140
55110 DTRL2 String1 Anode Voltage, V,32.45,R171
55110 DTRL2 String1 Anode Voltage, V,32.97,R171
507040_HSD Voltage High, V,.0012,R811
507050_HSD Current High, mA,.4563,R811
507080_HSD Read ADC Fan Sense, Dec,0,R811
507040_HSD Voltage High, V,.0016,R811
507050_HSD Current High, mA,.2500,R811
507080_HSD Read ADC Fan Sense, Dec,0,R811
506175_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506175_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506175_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506175_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506175_Diagnostic_DC_Voltage_at_ru, V,-.000,D500
506440_Measure_Turn_Signal_LED_Fee, Dec,164,C401
506440_Measure_Turn_Signal_LED_Fee, Dec,165,C401
506440_Measure_Turn_Signal_LED_Fee, Dec,168,C401
506440_Measure_Turn_Signal_LED_Fee, Dec,164,C401
506440_Measure_Turn_Signal_LED_Fee, Dec,167,C401
56280 DTRL1 C3 Current, mA,459.4,C1110
56280 DTRL1 C3 Current, mA,459.4,C1110
56280 DTRL1 C3 Current, mA,459.3,C1110
56280 DTRL1 C3 Current, mA,459.4,C1110
55610 TI String1 Anode Voltage, V,.0070,R135
55610 TI String1 Anode Voltage, V,.0075,R135
56360 DTRL1 C7 Current, mA,454.6,R1116
