TestDescription,Value,Component
110_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D205
159_[J5-47]Park_Brake_CktFdbkOn,1,D205
Recog,5,Z2000
258_[J2-24]Autolamp_Sensor_InputLo,27,Z2000
259_[J2-24]Autolamp_Sensor_InputLo,556,Z2000
CAUSER,29,D4009
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.28,D4009
CAUSER,29,D4009
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.29,D4009
CAUSER,29,D210
143_[J5-34]Liftgate_Glass_Decklid_,0,D210
143_[J5-34]Liftgate_Glass_Decklid_,0,D210
133_[J5-2]Keypad_Switch_B_CktFdbkO,1,R274
141_[J6-14]Hood_Ajar_CktFdbkOff,0,R274
CAUSER,29,R274
CAUSER,20,R274
3_MPC560_ContactMCU,0,R274
678_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.31,D4009
CAUSER,29,D4009
CAUSER,29,D213
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
CAUSER,29,D213
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
CAUSER,4,D213
CAUSER,29,T6007
616_[J4-21]DS_FL_CAP_SEN_DATA Freq,9.999,T6007
616_[J4-21]DS_FL_CAP_SEN_DATA Freq,9.999,T6007
304_Read_No_polling_Hazard,0,D200
CAUSER,29,D200
289_Read_No_polling_Hazard,0,D200
CAUSER,29,T201
117_PulseScan1FdbkOn,0,T201
102_PulseScan1FdbkOn,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb,0,T201
CAUSER,29,D4009
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.29,D4009
CAUSER,1,D201
CAUSER,4,D201
303_Read_No_polling_Liftgate_Glass,0,D201
288_Read_No_polling_Liftgate_Glass,0,D201
288_Read_No_polling_Liftgate_Glass,0,D201
CAUSER,29,T202
CAUSER,29,T202
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
C4053,92.69,T202
C4053,88.31,T202
CAUSER,29,T202
117_PulseScan1FdbkOn,0,T201
CAUSER,29,T201
117_PulseScan1FdbkOn,0,T201
125_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D212
108_ADFDBKforBCM_B1_SS.1%FdbkOn,0,R123
CAUSER,29,R123
CAUSER,52,R123
93_ADFDBKforBCM_B1_SS.1%FdbkOn,0,R123
93_ADFDBKforBCM_B1_SS.1%FdbkOn,0,R123
CAUSER,29,D6111
268_Read PIEZO_Sou_Ckt ON FDBK,0,D6111
325_[J4-03]PIEZO_Sounder_Ckt Feedb,0,D6111
268_Read PIEZO_Sou_Ckt ON FDBK,0,D6111
325_[J4-03]PIEZO_Sounder_Ckt Feedb,0,D6111
CAUSER,29,D6111
268_Read PIEZO_Sou_Ckt ON FDBK,0,D6111
325_[J4-03]PIEZO_Sounder_Ckt Feedb,0,D6111
268_Read PIEZO_Sou_Ckt ON FDBK,0,D6111
325_[J4-03]PIEZO_Sounder_Ckt Feedb,0,D6111
CAUSER,29,T202
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
358_[J7-2]RF_Low_Beam_CktVoltageOn,.0089,V4008
Recog,5,V4008
348_[J7-2]RF_Low_Beam_Ckt_On,.0863,V4008
CAUSER,29,T202
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
CAUSER,29,D217
219_[J5-9]DI_Spare_3FdbkOn,1,D217
CAUSER,29,D203
123_[J2-14]Clutch_Input_CktFdbkOn,0,D203
CAUSER,29,R288
811_DTCs_Allowed,-99,R288
811_DTCs_Allowed,-99,R288
250_[J2-37]DIH_AHWU no stimulus,1,R288
250_[J2-37]DIH_AHWU no stimulus,1,R288
170_[J5-19]RR_Door_Ajar_CktFdbkOn,1,D204
CAUSER,29,D204
155_[J5-19]RR_Door_Ajar_CktFdbkOn,1,D204
125_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D212
139_[J2-14]Clutch_Input_CktFdbkOn,0,T201
CAUSER,29,T201
CAUSER,29,T201
124_[J2-14]Clutch_Input_CktFdbkOn,0,T201
139_[J2-14]Clutch_Input_CktFdbkOn,0,T201
139_[J2-14]Clutch_Input_CktFdbkOn,0,T201
CAUSER,29,T201
CAUSER,29,T201
Fuse_36,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
Fuse_30,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
Fuse_32,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
291_Read_No_polling_Hazard,0,D200
CAUSER,29,D200
292_Read_No_polling_Hazard,0,D200
CAUSER,29,R298
156_[J2-14]Clutch_Input_CktFdbkOff,1,R298
774_Read_ECU_Core_Number,-1,R298
CAUSER,29,D210
143_[J5-34]Liftgate_Glass_Decklid_,0,D210
CAUSER,29,D213
121_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
127_[J2-19]Hazard_CktFdbkOff,0,R307
CAUSER,29,R307
Dist_Izq,0,R307
Dist_Der,0,R307
Dist_Izq,0,R307
Dist_Der,0,R307
CAUSER,29,D205
159_[J5-47]Park_Brake_CktFdbkOn,1,D205
CAUSER,29,T202
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
CAUSER,48,C6048
Recog,5,C6048
636_[J4-6]DS_Trunk_Liftgate_CAP_SE,9.999,C6048
636_[J4-6]DS_Trunk_Liftgate_CAP_SE,9.999,C6048
655_[J4-16][J4-15]INT Ant2 P-P Vol,0,C6071
CAUSER,29,C6071
CAUSER,29,T201
102_PulseScan1FdbkOn,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb,0,T201
Fuse_24,0,T201
Fuse_36,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
Fuse_24,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
Fuse_24,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
318_[J5-41]Discrete_VSPD_CktVoltag,.4659,D210
CAUSER,29,D210
143_[J5-34]Liftgate_Glass_Decklid_,0,D210
303_Read_No_polling_Liftgate_Glass,0,D201
CAUSER,29,D201
288_Read_No_polling_Liftgate_Glass,0,D201
CAUSER,29,T201
102_PulseScan1FdbkOn,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb,0,T201
CAUSER,50,T201
Recog,5,T201
158_[J5-34]Liftgate_Glass_Decklid_,0,D210
CAUSER,29,D210
143_[J5-34]Liftgate_Glass_Decklid_,0,D210
CAUSER,29,T101
CAUSER,29,T101
88_Scan_Pulse_FDBK3FdbkOn,261,T101
88_Scan_Pulse_FDBK3FdbkOn,0,T101
88_Scan_Pulse_FDBK3FdbkOn,261,T101
CAUSER,29,T202
CAUSER,29,T202
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
3_Read_LB2,1,T202
3_Read_LB2,1,T202
CAUSER,29,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
148_[J2-2]HLSW_Park_CktFdbkOn,1,D212
148_[J2-2]HLSW_Park_CktFdbkOn,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
781_Write_Key_Code_Card_Number,1,D212
CAUSER,29,D210
143_[J5-34]Liftgate_Glass_Decklid_,0,D210
143_[J5-34]Liftgate_Glass_Decklid_,0,D210
Fuse_36,0,D210
Dist_Izq,0,D210
Dist_Der,0,D210
CAUSER,29,D210
143_[J5-34]Liftgate_Glass_Decklid_,0,D210
143_[J5-34]Liftgate_Glass_Decklid_,0,D210
CAUSER,29,D210
159_[J5-47]Park_Brake_CktFdbkOn,1,D210
CAUSER,29,T201
102_PulseScan1FdbkOn,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb,0,T201
Tornillo1,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Tornillo1,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Tornillo1,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Tornillo1,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Tornillo1,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Tornillo1,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Tornillo1,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Tornillo1,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Tornillo1,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Tornillo1,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Tornillo1,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Tornillo1,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Tornillo1,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Tornillo1,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Tornillo1,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Tornillo1,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Tornillo1,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Tornillo1,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
Tornillo1,0,T201
Fuse_04,0,T201
Fuse_05,0,T201
Fuse_07,0,T201
Fuse_23,0,T201
Fuse_24,0,T201
Fuse_25,0,T201
Fuse_26,0,T201
Fuse_27,0,T201
Fuse_28,0,T201
Fuse_29,0,T201
Tornillo2,0,T201
Fuse_09,0,T201
Fuse_11,0,T201
Fuse_13,0,T201
Fuse_15,0,T201
Fuse_16,0,T201
Fuse_37,0,T201
Dist_Izq,0,T201
Dist_Der,0,T201
FusePuller,0,T201
Circuit_Breaker,0,T201
Fuse_01,0,T201
Fuse_02,0,T201
Fuse_03,0,T201
CAUSER,29,R322
73_[J2-52]LinCommICMLX80001(LIN1),0,R322
123_[J5-19]RR_Door_Ajar_CktFdbkOff,0,R322
123_[J5-19]RR_Door_Ajar_CktFdbkOff,0,R322
CAUSER,2,T6013
59_ENTER EOL MODE AND INITIALIZAT,1,T6013
CAUSER,29,D205
174_[J5-47]Park_Brake_CktFdbkOn,1,D205
CAUSER,29,D212
125_[J5-14]Decklid_Liftglass_Switc,1,D212
125_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,C6047
616_[J4-21]DS_FL_CAP_SEN_DATA Freq,9.999,C6047
616_[J4-21]DS_FL_CAP_SEN_DATA Freq,9.999,C6047
CAUSER,29,T101
88_Scan_Pulse_FDBK3FdbkOn,0,T101
CAUSER,29,T202
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
CAUSER,29,D200
289_Read_No_polling_Hazard,0,D200
CAUSER,29,T101
88_Scan_Pulse_FDBK3FdbkOn,0,T101
CAUSER,29,D201
CAUSER,29,D201
288_Read_No_polling_Liftgate_Glass,0,D201
CAUSER,29,T101
88_Scan_Pulse_FDBK3FdbkOn,0,T101
CAUSER,29,T201
102_PulseScan1FdbkOn,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb,0,T201
CAUSER,29,D205
159_[J5-47]Park_Brake_CktFdbkOn,1,D205
CAUSER,29,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
781_Write_Key_Code_Card_Number,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D212
781_Write_Key_Code_Card_Number,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
158_[J5-34]Liftgate_Glass_Decklid_,0,D210
CAUSER,29,D210
25_[J7_17][J1_08] SS-Bus_F13-5A C,10.44,D210
CAUSER,29,D4009
25_[J7_17][J1_08] SS-Bus_F13-5A C,10.00,D4009
690_[J6-20]Horn_Relay_Ctrl_Ckt Vol,13.30,D4009
125_[J5-14]Decklid_Liftglass_Switc,1,D212
125_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D212
CAUSER,24,D212
CAUSER,20,D212
CAUSER,29,T201
102_PulseScan1FdbkOn,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb,0,T201
CAUSER,29,D217
219_[J5-9]DI_Spare_3FdbkOn,1,D217
CAUSER,29,D205
159_[J5-47]Park_Brake_CktFdbkOn,1,D205
CAUSER,29,D210
143_[J5-34]Liftgate_Glass_Decklid_,0,D210
635_[J4-31][J4-14]Request ID,-1,R730
CAUSER,29,R730
641_[J4-31][J4-14]Request ID,-2,R730
Dist_Izq,0,R730
Dist_Der,0,R730
Circuit_Breaker,0,R730
CAUSER,29,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
Fuse_04,0,D212
Fuse_05,0,D212
Fuse_07,0,D212
Fuse_23,0,D212
Fuse_24,0,D212
Fuse_25,0,D212
Fuse_26,0,D212
Fuse_27,0,D212
Fuse_28,0,D212
Fuse_29,0,D212
Fuse_09,0,D212
Fuse_11,0,D212
Fuse_13,0,D212
Fuse_30,0,D212
Fuse_31,0,D212
Fuse_32,0,D212
Dist_Izq,0,D212
Dist_Der,0,D212
FusePuller,0,D212
Circuit_Breaker,0,D212
Fuse_01,0,D212
Fuse_02,0,D212
Fuse_03,0,D212
100_[J6-3]Batt_Current_Sense_5V_Fe,0,R726
CAUSER,29,R726
85_[J6-3]Batt_Current_Sense_5V_Fe,0,R726
Dist_Izq,0,R726
Dist_Der,0,R726
Circuit_Breaker,0,R726
CAUSER,29,D212
403_[J5-13]Stop_Lamps_CHMSL_Ckt_On,.1602,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
CAUSER,29,D212
110_[J5-14]Decklid_Liftglass_Switc,1,D212
655_[J4-16][J4-15]INT Ant2 P-P Vol,169.1,D212
CAUSER,29,D205
159_[J5-47]Park_Brake_CktFdbkOn,1,D205
Fuse_25,0,D205
Dist_Izq,0,D205
Dist_Der,0,D205
CAUSER,29,D210
143_[J5-34]Liftgate_Glass_Decklid_,0,D210
CAUSER,29,D205
174_[J5-47]Park_Brake_CktFdbkOn,1,D205
CAUSER,29,T202
124_[J2-14]Clutch_Input_CktFdbkOn,0,T202
CAUSER,29,D211
112_[J2-19]Hazard_CktFdbkOff,0,D211
CAUSER,29,D211
112_[J2-19]Hazard_CktFdbkOff,0,D211
CAUSER,29,R813
770_Get_Self_Test_Results,1,R813
770_Get_Self_Test_Results,1,R813
770_Get_Self_Test_Results,1,R813
770_Get_Self_Test_Results,1,R813
CAUSER,20,R813
CAUSER,29,D211
112_[J2-19]Hazard_CktFdbkOff,0,D211
CAUSER,29,D211
112_[J2-19]Hazard_CktFdbkOff,0,D211
CAUSER,29,T201
102_PulseScan1FdbkOn,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb,0,T201
CAUSER,29,T201
102_PulseScan1FdbkOn,0,T201
104_[J2-18]Horn_Relay_Input_CktFdb,0,T201
131_[J2-2]HLSW_Park_CktFdbkOff,0,R307
175_[J2-6]Radio_Anti_Theft_CktFdbk,0,R307
CAUSER,29,R307
CAUSER,21,R307
116_[J2-2]HLSW_Park_CktFdbkOff,0,R307
160_[J2-6]Radio_Anti_Theft_CktFdOf,0,R307
105_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
CAUSER,29,D213
CAUSER,24,D213
105_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
106_[J5-1]Liftgate_Switch_CktFdbkO,1,D213
